Name,Type,File,Line,IsReExport,OriginalFile
_Add,const,src/types/optics-rewrite.ts,132,false,
_Let,const,src/types/optics-rewrite.ts,136,false,
_Lit,const,src/types/optics-rewrite.ts,134,false,
_Mul,const,src/types/optics-rewrite.ts,133,false,
_Var,const,src/types/optics-rewrite.ts,135,false,
// Note: ObjPair,re-export,src/types/index.ts,151,true,./spec-impl-refactored.js
// Note: Square,re-export,src/types/index.ts,144,true,./double-lax-functor-interface.js
// Note: squareWitness exported from witnesses.js,re-export,src/types/index.ts,170,true,./allegory-witness.js
// Note: verifySurjection exported from spec-impl.js,re-export,src/types/index.ts,138,true,./surjection-types.js
abort,const,src/types/shift-reset.ts,87,false,
Action,interface,src/types/algebraic.ts,78,false,
adaptBitRelToRel,function,src/types/bitrel.ts,342,false,
adaptExistingOptic,function,src/types/optics-rewrite-bridge.ts,29,false,
adaptProfunctorLens,function,src/types/optics-witness.ts,182,false,
adaptProfunctorOptic,function,src/types/optics-rewrite.ts,584,false,
adaptProfunctorPrism,function,src/types/optics-witness.ts,189,false,
adaptRelToBitRel,function,src/types/bitrel.ts,347,false,
add,const,src/types/optics-rewrite.ts,67,false,
Add,const,src/types/advanced.ts,297,false,
AddF,const,src/types/adt-expr-op.ts,15,false,
addZero,const,src/types/optics-rewrite.ts,225,false,
AdjointEquivalence,interface,src/types/catkit-equivalence.ts,102,false,
Adjunction,interface,src/types/catkit-adjunction.ts,57,false,
adjunctionExistsPreimageHolds,function,src/types/rel-equipment.ts,352,false,
adjunctionLeftHolds,function,src/types/rel-equipment.ts,317,false,
adjunctionPreimageForallHolds,function,src/types/rel-equipment.ts,361,false,
adjunctionRightHolds,function,src/types/rel-equipment.ts,323,false,
adjunctionRoundTripLaws,function,src/laws/Adjunction.ts,15,false,
adjunctionViaComma,function,src/types/catkit-comma-kan-bridge.ts,137,false,
AdjunctionWitness,type,src/types/witnesses.ts,57,false,
AdvancedPrism,interface,src/types/advanced.ts,337,false,
Algebra,interface,src/types/algebraic.ts,85,false,
AlgebraHomomorphism,interface,src/types/adt-functor.ts,33,false,
allegoryLawWitness,re-export,src/types/index.ts,170,true,./allegory-witness.js
AllegoryLawWitness,type,src/types/witnesses.ts,175,false,
AllegoryWitness,type,src/types/rel-lawcheck-witnessed.ts,36,false,
allLawful,function,src/laws/registry.ts,18,false,
allSubsets,function,src/types/ultrafilter.ts,197,false,
alphaViaLimit,function,src/types/topology-convergence.ts,53,false,
Alt,interface,src/types/functors.ts,55,false,
Alternative,interface,src/types/functors.ts,63,false,
ana,const,src/types/adt-fix.ts,43,false,
AnalyzedHom,interface,src/algebra/group/FirstIso.ts,25,false,
analyzeGroupHom,function,src/algebra/group/analyzeHom.ts,13,false,
analyzeRingHom,function,src/algebra/ring/Hom.ts,73,false,
analyzeSetHom,function,src/cat/set/SetCat.ts,47,false,
and2,const,src/types/mini-finset.ts,207,false,
AnyOptic,type,src/types/catkit-traversal.ts,155,false,
ap,const,src/types/ultrafilter-monad.ts,34,false,
Ap,const,src/types/freeapp-coyo.ts,24,false,
apAp,const,src/types/advanced.ts,254,false,
apo,const,src/types/adt-fix.ts,73,false,
App,const,src/universal/Term.ts,9,false,
append,const,src/types/adt-list.ts,58,false,
Applicative,interface,src/types/functors.ts,51,false,
ApplicativeFree,interface,src/types/optics-free.ts,148,false,
ApplicativeOps,interface,src/types/freeapp-coyo.ts,65,false,
Apply,interface,src/types/functors.ts,47,false,
applyMigration,function,src/types/quiver-pushout.ts,418,false,
applyRulesFix,function,src/types/optics-rewrite.ts,171,false,
applyRulesOnce,function,src/types/optics-rewrite.ts,159,false,
applyRulesOnceWithWriter,function,src/types/optics-rewrite.ts,404,false,
applyRulesWithTrace,function,src/types/optics-rewrite.ts,272,false,
applyRuleWithTrace,function,src/types/optics-rewrite.ts,258,false,
applyRuleWithWriter,function,src/types/optics-rewrite.ts,387,false,
applyShrinking,function,src/types/property-shrinking.ts,355,false,
AppMorphism,interface,src/types/catkit-traversal.ts,56,false,
approxEq,const,src/structures/group/HomHelpers.ts,14,false,
approxEqMatrix,function,src/prob/MarkovKernelIso.ts,45,false,
arrayStringEMMonoid,const,src/types/strong-monad.ts,550,false,
arraySumEMMonoid,const,src/types/em-monoid-examples.ts,156,false,
arrayTupleScheme,function,src/structures/group/pairing/PairingScheme.ts,29,false,
Arrow,interface,src/types/advanced.ts,14,false,
ArrowApply,interface,src/types/advanced.ts,23,false,
ArrowChoice,interface,src/types/advanced.ts,19,false,
ArrowT,const,src/types/gadt-expr.ts,14,false,
asAbelian,function,src/structures/ab/AbGroup.ts,14,false,
asFiniteGroup,function,src/structures/group/builders/Quotient.ts,48,false,
asQuasiFromNerve,function,src/types/category-to-nerve-sset.ts,447,false,
asSetObj,const,src/types/mini-finset.ts,29,false,
AuditEntry,interface,src/types/quiver-pushout.ts,22,false,
AuditTrail,class,src/types/quiver-pushout.ts,346,false,
autGroup,function,src/structures/group/automorphisms/Aut.ts,84,false,
Auto,type,src/structures/group/automorphisms/Aut.ts,55,false,
autoClassifyGroup,function,src/algebra/group/iso/EnhancedIsoClass.ts,122,false,
autoConfigureDisplay,function,src/types/display-helpers.ts,487,false,
automorphismsBruteforce,function,src/structures/group/Isomorphism.ts,82,false,
autoQ_scale,function,src/algebra/group/NumberGroups.ts,28,false,
autoZ_id,const,src/algebra/group/NumberGroups.ts,24,false,
autoZ_neg,const,src/algebra/group/NumberGroups.ts,25,false,
avoiding conflict,re-export,src/types/index.ts,170,true,./allegory-witness.js
avoiding conflict
  inclusionWitness,re-export,src/types/index.ts,144,true,./double-lax-functor-interface.js
basis,function,src/types/finvect.ts,38,false,
basisC0,function,src/types/catkit-homology.ts,356,false,
basisC1,function,src/types/catkit-homology.ts,360,false,
basisC2,function,src/types/catkit-homology.ts,364,false,
batchProbeCodense,function,src/types/codense-probe.ts,41,false,
batchProbeCodensity,function,src/types/codensity-probe.ts,70,false,
BenchmarkConfig,interface,src/bench/rel-benchmark.ts,31,false,
benchmarkFingerTree,function,src/types/fingertree.ts,341,false,
benchmarkRope,function,src/types/rope.ts,97,false,
BenchmarkRun,interface,src/bench/rel-benchmark.ts,49,false,
BFin,type,src/gadt/basic/BFin.ts,34,false,
bfinConViaLan,function,src/gadt/basic/BFin.Lan.ts,22,false,
BFinF,type,src/gadt/basic/BFin.ts,20,false,
Bicategory,interface,src/types/bicategory.ts,3,false,
Bifunctor,interface,src/types/functors.ts,24,false,
BifunctorLegacy,interface,src/types/functors.ts,37,false,
Bijection,type,src/types/double-functor.ts,108,false,
bijectionWitness,function,src/structures/group/Isomorphism.ts,40,false,
BinaryTree,type,src/types/adt-tree.ts,21,false,
BinaryTreeF,type,src/types/adt-tree.ts,7,false,
bindWriter,function,src/types/optics-rewrite.ts,371,false,
biproduct,function,src/structures/ab/builders/Biproduct.ts,7,false,
Bit,type,src/types/finvect.ts,3,false,
BitMatrix,class,src/types/bitrel.ts,74,false,
BitRel,class,src/types/bitrel.ts,195,false,
BitSet,class,src/types/bitrel.ts,10,false,
bool,const,src/types/gadt-expr.ts,27,false,
BoolMorphisms,const,src/types/mini-finset.ts,237,false,
BoolOrAsMonoid,function,src/universal/examples/MonoidSig.ts,23,false,
BoolT,const,src/types/gadt-expr.ts,12,false,
bothPair,function,src/types/catkit-traversal.ts,125,false,
Bounce,type,src/types/cont.ts,169,false,
boundary1,function,src/types/catkit-homology.ts,389,false,
boundary2,function,src/types/catkit-homology.ts,402,false,
boundaryFromSSet,function,src/types/catkit-homology.ts,637,false,
BoundedLattice,interface,src/types/algebraic.ts,53,false,
Branch,const,src/types/adt-tree.ts,24,false,
BranchF,const,src/types/adt-tree.ts,15,false,
brokenConcatEMMonoid,const,src/types/em-monoid-examples.ts,305,false,
brokenUnitEMMonoid,const,src/types/em-monoid-examples.ts,348,false,
buildComplete,const,src/types/adt-tree.ts,71,false,
buildFrom,const,src/gadt/adapters.ts,6,false,
buildLawvere,function,src/universal/lawvere/Lawvere.ts,23,false,
buildPathsUpTo,function,src/types/catkit-homology.ts,327,false,
buildPointwiseColim,function,src/types/pointwise-colim-util.ts,24,false,
buildPointwiseLimit,function,src/types/pointwise-limit-util.ts,18,false,
buildRose,const,src/types/adt-rose.ts,36,false,
buildSetMonadFromTheory,function,src/universal/monad/LawvereMonad.ts,44,false,
