Name,Type,File,Line,IsReExport,OriginalFile,UsageCount
_Add,const,src/types/optics-rewrite.ts,132,false,,0
_Let,const,src/types/optics-rewrite.ts,136,false,,0
_Lit,const,src/types/optics-rewrite.ts,134,false,,0
_Mul,const,src/types/optics-rewrite.ts,133,false,,0
_Var,const,src/types/optics-rewrite.ts,135,false,,0
// Note: ObjPair,re-export,src/types/index.ts,151,true,./spec-impl-refactored.js,0
// Note: Square,re-export,src/types/index.ts,144,true,./double-lax-functor-interface.js,0
// Note: squareWitness exported from witnesses.js,re-export,src/types/index.ts,170,true,./allegory-witness.js,0
// Note: verifySurjection exported from spec-impl.js,re-export,src/types/index.ts,138,true,./surjection-types.js,0
abort,const,src/types/shift-reset.ts,87,false,,0
Action,interface,src/types/algebraic.ts,78,false,,0
adaptBitRelToRel,function,src/types/bitrel.ts,342,false,,0
adaptExistingOptic,function,src/types/optics-rewrite-bridge.ts,29,false,,0
adaptProfunctorLens,function,src/types/optics-witness.ts,182,false,,0
adaptProfunctorOptic,function,src/types/optics-rewrite.ts,584,false,,0
adaptProfunctorPrism,function,src/types/optics-witness.ts,189,false,,0
adaptRelToBitRel,function,src/types/bitrel.ts,347,false,,0
add,const,src/types/optics-rewrite.ts,67,false,,0
Add,const,src/types/advanced.ts,297,false,,0
AddF,const,src/types/adt-expr-op.ts,15,false,,0
addZero,const,src/types/optics-rewrite.ts,225,false,,0
AdjointEquivalence,interface,src/types/catkit-equivalence.ts,102,false,,0
Adjunction,interface,src/types/catkit-adjunction.ts,57,false,,1
adjunctionExistsPreimageHolds,function,src/types/rel-equipment.ts,352,false,,0
adjunctionLeftHolds,function,src/types/rel-equipment.ts,317,false,,0
adjunctionPreimageForallHolds,function,src/types/rel-equipment.ts,361,false,,0
adjunctionRightHolds,function,src/types/rel-equipment.ts,323,false,,0
adjunctionRoundTripLaws,function,src/laws/Adjunction.ts,15,false,,0
adjunctionViaComma,function,src/types/catkit-comma-kan-bridge.ts,137,false,,0
AdjunctionWitness,type,src/types/witnesses.ts,57,false,,0
AdvancedPrism,interface,src/types/advanced.ts,337,false,,0
Algebra,interface,src/types/algebraic.ts,85,false,,9
AlgebraHomomorphism,interface,src/types/adt-functor.ts,33,false,,0
allegoryLawWitness,re-export,src/types/index.ts,170,true,./allegory-witness.js,0
AllegoryLawWitness,type,src/types/witnesses.ts,175,false,,0
AllegoryWitness,type,src/types/rel-lawcheck-witnessed.ts,36,false,,0
allLawful,function,src/laws/registry.ts,18,false,,0
